Designator,Footprint,Quantity,Value,LCSC Part #
"_42, _41, _40, _39, _38, _37, _36, _35, _34, _33, _32, _31, _30, _29, _28, _27, _26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,42,,
"C1_6, C1_5, C1_4, C1_3, C1_2, C1, C10_6, C10_5, C10_4, C10_3, C10_2, C10, C12_6, C12_5, C12_4, C12_3, C12_2, C12, C13_6, C13_5, C13_4, C13_3, C13_2, C13, C15_6, C15_5, C15_4, C15_3, C15_2, C15, C2_6, C2_5, C2_4, C2_3, C2_2, C2, C6_6, C6_5, C6_4, C6_3, C6_2, C6, C8_6, C8_5, C8_4, C8_3, C8_2, C8",0201,48,0.1u,C76928
"C11_6, C11_5, C11_4, C11_3, C11_2, C11, C3_6, C3_5, C3_4, C3_3, C3_2, C3, C9_6, C9_5, C9_4, C9_3, C9_2, C9",0201,18,1u,C237458
"C14_6, C14_5, C14_4, C14_3, C14_2, C14, C16_6, C16_5, C16_4, C16_3, C16_2, C16, C17_6, C17_5, C17_4, C17_3, C17_2, C17, C4_6, C4_5, C4_4, C4_3, C4_2, C4, C5_6, C5_5, C5_4, C5_3, C5_2, C5",0402,30,10u,C15525
"C18_6, C18_5, C18_4, C18_3, C18_2, C18, C19_6, C19_5, C19_4, C19_3, C19_2, C19",0402,12,20p,C1554
"C7_6, C7_5, C7_4, C7_3, C7_2, C7",0201,6,100p,C161485
"D1_6, D1_5, D1_4, D1_3, D1_2, D1",DSN1006-2_0.6x1mm_P0.65mm,6,PMEG6010ESBYL,C552935
"D6_6, D6_5, D6_4, D6_3, D6_2, D6",0603,6,Green,C125113
"J1_6, J1_5, J1_4, J1_3, J1_2, J1",Xbox_PinHeader_1x05_P2.00mm_Vertical,6,Xbox_Ctrl,DNP
"J2_6, J2_5, J2_4, J2_3, J2_2, J2",PinHeader_2x06_P1.00mm,6,ICSP,DNP
"J3_6, J3_5, J3_4, J3_3, J3_2, J3",PinHeader_1x04_P1.00mm_Vertical,6,USB TP,DNP
"J4_6, J4_5, J4_4, J4_3, J4_2, J4",TestPoint_1x01,6,BTN TP,
"KIKIT_FID_B_1, KIKIT_FID_B_2, KIKIT_FID_B_3, KIKIT_FID_B_4, KIKIT_FID_T_1, KIKIT_FID_T_2, KIKIT_FID_T_3, KIKIT_FID_T_4",Fiducial,8,Fiducial,
"KIKIT_TO_1, KIKIT_TO_2, KIKIT_TO_3, KIKIT_TO_4",NPTH,4,NPTH,
"R1_6, R1_5, R1_4, R1_3, R1_2, R1, R10_6, R10_5, R10_4, R10_3, R10_2, R10, R4_6, R4_5, R4_4, R4_3, R4_2, R4, R6_6, R6_5, R6_4, R6_3, R6_2, R6",0402,24,10K,C25744
"R11_6, R11_5, R11_4, R11_3, R11_2, R11",0402,6,100,C25076
"SW1_6, SW1_5, SW1_4, SW1_3, SW1_2, SW1",SW_SPST_B3U-3000P,6,SW_Push,C963349
"U1_6, U1_5, U1_4, U1_3, U1_2, U1",U-DFN3030-8E_3x3mm_P0.65mm_EP1.5x2.25mm,6,AP7361C-33E,C151007
"U2_6, U2_5, U2_4, U2_3, U2_2, U2",QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,6,ESP32-S2,C2844252
"U3_6, U3_5, U3_4, U3_3, U3_2, U3",ESP32-PICO-MINI-02,6,ESP32-PICO-MINI-02,C2980306
"U4_6, U4_5, U4_4, U4_3, U4_2, U4",UQFN-8L_2.5x1.2mm_P0.5mm,6,ECMF02-4CMX8,C717678
"Y1_6, Y1_5, Y1_4, Y1_3, Y1_2, Y1",Crystal_SMD_2016-4Pin_2.0x1.6mm,6,40MHz,C2875288
