Designator,Mid X,Mid Y,Rotation,Layer
_42,76.6,-15.0,0.0,top
_41,75.6,-15.0,0.0,top
_40,72.6,-15.0,0.0,top
_39,70.6,-65.0,0.0,top
_38,8.4,-15.0,0.0,top
_37,74.6,-15.0,0.0,top
_36,3.4,-65.0,0.0,top
_35,3.4,-15.0,0.0,top
_34,78.6,-15.0,0.0,top
_33,69.6,-65.0,0.0,top
_32,7.4,-65.0,0.0,top
_31,4.4,-65.0,0.0,top
_30,77.6,-65.0,0.0,top
_29,7.4,-15.0,0.0,top
_28,0.4,-15.0,0.0,top
_27,2.4,-65.0,0.0,top
_26,2.4,-15.0,0.0,top
_25,5.4,-15.0,0.0,top
_24,5.4,-65.0,0.0,top
_23,6.4,-65.0,0.0,top
_22,68.6,-65.0,0.0,top
_21,68.6,-15.0,0.0,top
_20,6.4,-15.0,0.0,top
_19,8.4,-65.0,0.0,top
_18,69.6,-15.0,0.0,top
_17,76.6,-65.0,0.0,top
_16,9.4,-15.0,0.0,top
_15,1.4,-65.0,0.0,top
_14,78.6,-65.0,0.0,top
_13,73.6,-15.0,0.0,top
_12,0.4,-65.0,0.0,top
_11,71.6,-15.0,0.0,top
_10,70.6,-15.0,0.0,top
_9,4.4,-15.0,0.0,top
_8,74.6,-65.0,0.0,top
_7,9.4,-65.0,0.0,top
_6,1.4,-15.0,0.0,top
_5,77.6,-15.0,0.0,top
_4,75.6,-65.0,0.0,top
_3,71.6,-65.0,0.0,top
_2,73.6,-65.0,0.0,top
,72.6,-65.0,0.0,top
C1_6,18.22,-32.39,270.0,top
C1_5,38.42,-61.59,270.0,top
C1_4,58.62,-32.39,270.0,top
C1_3,38.42,-32.39,270.0,top
C1_2,18.22,-61.59,270.0,top
C1,58.62,-61.59,270.0,top
C10_6,64.19,-59.35,0.0,top
C10_5,43.99,-30.15,0.0,top
C10_4,43.99,-59.35,0.0,top
C10_3,23.79,-30.15,0.0,top
C10_2,23.79,-59.35,0.0,top
C10,64.19,-30.15,0.0,top
C11_6,44.005,-58.44,0.0,top
C11_5,64.205,-29.24,0.0,top
C11_4,23.805,-58.44,0.0,top
C11_3,23.805,-29.24,0.0,top
C11_2,64.205,-58.44,0.0,top
C11,44.005,-29.24,0.0,top
C12_6,20.74,-23.08,0.0,top
C12_5,20.74,-52.28,0.0,top
C12_4,61.14,-52.28,0.0,top
C12_3,61.14,-23.08,0.0,top
C12_2,40.94,-52.28,0.0,top
C12,40.94,-23.08,0.0,top
C13_6,43.9,-32.55,180.0,bottom
C13_5,23.7,-32.55,180.0,bottom
C13_4,64.1,-61.75,180.0,bottom
C13_3,64.1,-32.55,180.0,bottom
C13_2,43.9,-61.75,180.0,bottom
C13,23.7,-61.75,180.0,bottom
C14_6,22.54,-33.11,270.0,bottom
C14_5,22.54,-62.31,270.0,bottom
C14_4,42.74,-62.31,270.0,bottom
C14_3,62.94,-62.31,270.0,bottom
C14_2,42.74,-33.11,270.0,bottom
C14,62.94,-33.11,270.0,bottom
C15_6,62.88,-18.93,0.0,top
C15_5,42.68,-48.13,0.0,top
C15_4,22.48,-48.13,0.0,top
C15_3,42.68,-18.93,0.0,top
C15_2,62.88,-48.13,0.0,top
C15,22.48,-18.93,0.0,top
C16_6,16.83,-20.195,270.0,top
C16_5,37.03,-49.395,270.0,top
C16_4,16.83,-49.395,270.0,top
C16_3,57.23,-20.195,270.0,top
C16_2,57.23,-49.395,270.0,top
C16,37.03,-20.195,270.0,top
C17_6,56.31,-50.325,90.0,top
C17_5,36.11,-50.325,90.0,top
C17_4,15.91,-50.325,90.0,top
C17_3,56.31,-21.125,90.0,top
C17_2,36.11,-21.125,90.0,top
C17,15.91,-21.125,90.0,top
C18_6,24.51,-22.09,90.0,top
C18_5,44.71,-51.29,90.0,top
C18_4,64.91,-51.29,90.0,top
C18_3,24.51,-51.29,90.0,top
C18_2,44.71,-22.09,90.0,top
C18,64.91,-22.09,90.0,top
C19_6,42.89,-48.94,0.0,top
C19_5,22.69,-19.74,0.0,top
C19_4,42.89,-19.74,0.0,top
C19_3,22.69,-48.94,0.0,top
C19_2,63.09,-19.74,0.0,top
C19,63.09,-48.94,0.0,top
C2_6,55.63,-52.285,180.0,top
C2_5,15.23,-23.085,180.0,top
C2_4,35.43,-23.085,180.0,top
C2_3,55.63,-23.085,180.0,top
C2_2,15.23,-52.285,180.0,top
C2,35.43,-52.285,180.0,top
C3_6,15.23,-22.385,180.0,top
C3_5,55.63,-22.385,180.0,top
C3_4,35.43,-22.385,180.0,top
C3_3,55.63,-51.585,180.0,top
C3_2,15.23,-51.585,180.0,top
C3,35.43,-51.585,180.0,top
C4_6,14.99,-21.125,90.0,top
C4_5,14.99,-50.325,90.0,top
C4_4,35.19,-21.125,90.0,top
C4_3,55.39,-21.125,90.0,top
C4_2,35.19,-50.325,90.0,top
C4,55.39,-50.325,90.0,top
C5_6,39.51,-32.68,180.0,bottom
C5_5,39.51,-61.88,180.0,bottom
C5_4,59.71,-61.88,180.0,bottom
C5_3,19.31,-32.68,180.0,bottom
C5_2,59.71,-32.68,180.0,bottom
C5,19.31,-61.88,180.0,bottom
C6_6,62.32,-61.58,270.0,top
C6_5,42.12,-61.58,270.0,top
C6_4,21.92,-32.38,270.0,top
C6_3,62.32,-32.38,270.0,top
C6_2,42.12,-32.38,270.0,top
C6,21.92,-61.58,270.0,top
C7_6,57.38,-51.935,90.0,top
C7_5,16.98,-22.735,90.0,top
C7_4,57.38,-22.735,90.0,top
C7_3,16.98,-51.935,90.0,top
C7_2,37.18,-51.935,90.0,top
C7,37.18,-22.735,90.0,top
C8_6,36.48,-51.94,90.0,top
C8_5,56.68,-51.94,90.0,top
C8_4,16.28,-51.94,90.0,top
C8_3,16.28,-22.74,90.0,top
C8_2,56.68,-22.74,90.0,top
C8,36.48,-22.74,90.0,top
C9_6,19.34,-23.08,180.0,top
C9_5,59.74,-52.28,180.0,top
C9_4,59.74,-23.08,180.0,top
C9_3,39.54,-23.08,180.0,top
C9_2,19.34,-52.28,180.0,top
C9,39.54,-52.28,180.0,top
D1_6,55.83,-48.945,180.0,top
D1_5,15.43,-19.745,180.0,top
D1_4,35.63,-48.945,180.0,top
D1_3,15.43,-48.945,180.0,top
D1_2,55.83,-19.745,180.0,top
D1,35.63,-19.745,180.0,top
D6_6,65.52,-29.1,270.0,top
D6_5,45.32,-29.1,270.0,top
D6_4,25.12,-58.3,270.0,top
D6_3,25.12,-29.1,270.0,top
D6_2,65.52,-58.3,270.0,top
D6,45.32,-58.3,270.0,top
J1_6,54.1,-25.4,180.0,top
J1_5,54.1,-54.6,180.0,top
J1_4,33.9,-54.6,180.0,top
J1_3,13.7,-25.4,180.0,top
J1_2,33.9,-25.4,180.0,top
J1,13.7,-54.6,180.0,top
J2_6,21.27,-17.63,270.0,bottom
J2_5,41.47,-17.63,270.0,bottom
J2_4,41.47,-46.83,270.0,bottom
J2_3,21.27,-46.83,270.0,bottom
J2_2,61.67,-17.63,270.0,bottom
J2,61.67,-46.83,270.0,bottom
J3_6,20.29,-33.9,90.0,top
J3_5,40.49,-33.9,90.0,top
J3_4,40.49,-63.1,90.0,top
J3_3,60.69,-63.1,90.0,top
J3_2,20.29,-63.1,90.0,top
J3,60.69,-33.9,90.0,top
J4_6,24.07,-33.9,0.0,top
J4_5,44.27,-33.9,0.0,top
J4_4,44.27,-63.1,0.0,top
J4_3,24.07,-63.1,0.0,top
J4_2,64.47,-63.1,0.0,top
J4,64.47,-33.9,0.0,top
KIKIT_FID_B_1,12.0,-3.85,0.0,bottom
KIKIT_FID_B_2,68.0,-3.85,0.0,bottom
KIKIT_FID_B_3,12.0,-76.15,0.0,bottom
KIKIT_FID_B_4,68.0,-76.15,0.0,bottom
KIKIT_FID_T_1,12.0,-3.85,0.0,top
KIKIT_FID_T_2,68.0,-3.85,0.0,top
KIKIT_FID_T_3,12.0,-76.15,0.0,top
KIKIT_FID_T_4,68.0,-76.15,0.0,top
KIKIT_TO_1,2.5,-2.5,0.0,top
KIKIT_TO_2,77.5,-2.5,0.0,top
KIKIT_TO_3,2.5,-77.5,0.0,top
KIKIT_TO_4,77.5,-77.5,0.0,top
R1_6,45.19,-49.26,90.0,top
