"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C5, C6, C8, C10, C12, C13, C15, C20","10","0.1u","xbox:C_0201_0603Metric",""
"2","C3, C9, C11","3","1u","xbox:C_0201_0603Metric",""
"3","C4, C14, C16, C17","4","10u","xbox:C_0402_1005Metric",""
"4","C7","1","100p","xbox:C_0201_0603Metric",""
"5","C18, C19","2","20p","xbox:C_0201_0603Metric",""
"6","D1","1","PMEG3010AESBYL","xbox:DSN1006-2_0.6x1mm_P0.65mm",""
"7","D6","1","Green","xbox:LED_0603_1608Metric",""
"8","J1","1","Xbox_Ctrl","xbox:Xbox_PinHeader_1x05_P2.00mm_Vertical",""
"9","J2","1","ICSP","xbox:PinHeader_1x08_P1.00mm_Vertical",""
"10","J3, J4","2","Shield","xbox:TestPoint_Pad_1.0x1.0mm",""
"11","L1","1","2.0nH","xbox:L_0201_0603Metric",""
"12","R4, R6, R8, R10","4","10K","xbox:R_0201_0603Metric",""
"13","R5","1","499","xbox:R_0201_0603Metric",""
"14","R7","1","0","xbox:R_0201_0603Metric",""
"15","R11","1","100","xbox:R_0201_0603Metric",""
"16","SW1","1","BTN","xbox:SW_SPST_B3U-3100P",""
"17","U1","1","NCP186AMX330TAG","xbox:OnSemi_XDFN-8_1.2x1.6mm_P0.4mm",""
"18","U2","1","ESP32-S2","xbox:QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm",""
"19","U3","1","ESP32-PICO-MINI-02","xbox:ESP32-PICO-MINI-02",""
"20","U4","1","ECMF02-4CMX8","xbox:UQFN-8L_2.5x1.2mm_P0.5mm",""
"21","Y1","1","40MHz","xbox:Crystal_SMD_2016-4Pin_2.0x1.6mm",""
